origin_id,asset,session_date,forecast_origin_utc,session_segment,b1t_atm_iv,b1t_skew,b1t_complete,b1t_b1b_complete,b1t_b1c_complete,b1t_valid_contract_count,b1t_valid_quote_count,b1t_valid_expiry_bucket_count,b1t_median_quote_age,b1t_median_relative_spread,b1t_iv_inversion_success_rate,b1t_missing_reason
AAPL:2026-07-13T14:25:00+00:00,AAPL,2026-07-13,2026-07-13T14:25:00+00:00,middle,0.29520337502247096,0.004961526891700929,true,true,true,167,167,3,106.352629,0.057803468208092484,1.0,
AAPL:2026-07-13T14:30:00+00:00,AAPL,2026-07-13,2026-07-13T14:30:00+00:00,middle,0.27993123384867985,-0.00841550360693033,true,true,true,137,137,3,150.3885,0.05128205128205131,1.0,
AAPL:2026-07-13T14:35:00+00:00,AAPL,2026-07-13,2026-07-13T14:35:00+00:00,middle,0.3009439344655797,-0.017397847272306644,true,true,true,137,137,3,143.890303,0.047337278106508916,1.0,
AAPL:2026-07-13T14:40:00+00:00,AAPL,2026-07-13,2026-07-13T14:40:00+00:00,middle,0.281379645053491,-0.0116767710935623,true,true,true,176,176,3,152.3389365,0.04765225853539856,0.9943502824858758,
AAPL:2026-07-13T14:45:00+00:00,AAPL,2026-07-13,2026-07-13T14:45:00+00:00,middle,0.2913666620585248,-0.016330328297883168,true,true,true,137,137,3,155.512267,0.04484304932735426,1.0,
AAPL:2026-07-13T14:50:00+00:00,AAPL,2026-07-13,2026-07-13T14:50:00+00:00,middle,0.2800698704994098,-0.006058810929655989,true,true,true,135,135,3,118.723022,0.0425531914893617,1.0,
AAPL:2026-07-13T14:55:00+00:00,AAPL,2026-07-13,2026-07-13T14:55:00+00:00,middle,0.27748789093639326,-0.01700482922442248,true,true,true,108,108,3,144.695487,0.03508771929824556,1.0,
AAPL:2026-07-13T15:00:00+00:00,AAPL,2026-07-13,2026-07-13T15:00:00+00:00,middle,0.28578649495713787,-0.002096518454864582,true,true,true,130,130,3,172.06887849999998,0.04255319148936167,1.0,
AAPL:2026-07-13T15:05:00+00:00,AAPL,2026-07-13,2026-07-13T15:05:00+00:00,middle,0.26745764194609223,-0.015107986289620345,true,true,true,88,88,3,158.027763,0.03802501265090726,1.0,
AAPL:2026-07-13T15:10:00+00:00,AAPL,2026-07-13,2026-07-13T15:10:00+00:00,middle,0.2818404261183515,-0.019951272490896232,true,true,true,113,113,3,121.835401,0.04081632653061222,1.0,
AAPL:2026-07-13T15:15:00+00:00,AAPL,2026-07-13,2026-07-13T15:15:00+00:00,middle,0.2781541589730196,-0.008600948520898766,true,true,true,116,116,3,127.5281645,0.039999999999999945,1.0,
AAPL:2026-07-13T15:20:00+00:00,AAPL,2026-07-13,2026-07-13T15:20:00+00:00,middle,0.2894490320080147,-0.006349197250343885,true,true,true,129,129,3,116.635208,0.05152224824355962,1.0,
AAPL:2026-07-13T15:25:00+00:00,AAPL,2026-07-13,2026-07-13T15:25:00+00:00,middle,0.2892765138487965,-0.015455630310744262,true,true,true,106,106,3,138.6323325,0.04368144969003333,1.0,
AAPL:2026-07-13T15:30:00+00:00,AAPL,2026-07-13,2026-07-13T15:30:00+00:00,middle,0.2922333134202286,-0.014363710689745901,true,true,true,149,149,3,122.771112,0.0402684563758389,0.9933333333333333,
AAPL:2026-07-13T15:35:00+00:00,AAPL,2026-07-13,2026-07-13T15:35:00+00:00,middle,0.2742313359410465,-0.012385917212948072,true,true,true,144,144,3,140.048442,0.05835866261398176,0.9863013698630136,
AAPL:2026-07-13T15:40:00+00:00,AAPL,2026-07-13,2026-07-13T15:40:00+00:00,middle,0.2829142967114635,-0.014105808893963678,true,true,true,123,123,3,176.920253,0.044444444444444446,1.0,
AAPL:2026-07-13T15:45:00+00:00,AAPL,2026-07-13,2026-07-13T15:45:00+00:00,middle,0.2862009892992973,-0.0027537340378761543,true,true,true,95,95,3,146.928022,0.0411522633744856,0.9895833333333334,
AAPL:2026-07-13T15:50:00+00:00,AAPL,2026-07-13,2026-07-13T15:50:00+00:00,middle,0.2848410537213795,-0.006625650988101972,true,true,true,108,108,3,120.85521299999999,0.04181235431235432,1.0,
