block_id,model_name,group_type,group,estimate,ci_low,ci_high,p_value_two_sided,clusters,observations,repetitions,seed
block_a_2024_08_02_2024_09_13,har_rv,session_tercile,first,0.020296666628489828,-0.010809276670731609,0.05460421004458895,0.2108945527236382,30,3600,2000,650
block_a_2024_08_02_2024_09_13,har_rv,session_tercile,last,0.13489365322667637,0.07503905107456678,0.20670788628280906,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,har_rv,session_tercile,middle,0.015068299759065429,-0.0043634322260781185,0.03392009947430713,0.11894052973513243,30,4680,2000,650
block_a_2024_08_02_2024_09_13,har_rv,volatility_regime,high,0.1303915403030301,0.08472227573949906,0.17518440519074555,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,har_rv,volatility_regime,low,-0.00899061704011929,-0.042598057904173196,0.01884371674625522,0.5527236381809095,28,2526,2000,650
block_a_2024_08_02_2024_09_13,har_rv,volatility_regime,normal,-0.02649361443589716,-0.051799897508766686,-0.0021414695896607365,0.03798100949525238,30,3619,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,AAPL,0.11712020452445067,0.04052205761704367,0.20287420463807448,0.0029985007496251873,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,AMZN,0.03401656936554013,-0.029175700074044526,0.11664840762431414,0.3868065967016492,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,META,-0.03976388543914475,-0.06936428821833467,-0.015525559191573661,0.001999000499750125,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,MSFT,-0.08831827439429127,-0.12977791628485383,-0.04392139917576843,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,NVDA,0.31349533688305137,0.21159189882492968,0.42178820989141563,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,asset,TSLA,-0.017441154468690757,-0.03091977665142874,-0.0013388055930472456,0.03498250874562719,30,1980,2000,650
block_a_2024_08_02_2024_09_13,ridge,session_tercile,first,0.02043892489292657,-0.01059870658495589,0.05465661451901714,0.2108945527236382,30,3600,2000,650
block_a_2024_08_02_2024_09_13,ridge,session_tercile,last,0.1350682932055604,0.07515331733962759,0.20693772694755455,0.0009995002498750624,30,3600,2000,650
block_a_2024_08_02_2024_09_13,ridge,session_tercile,middle,0.015386630738858854,-0.003944365271659056,0.034189836184598255,0.11494252873563218,30,4680,2000,650
block_a_2024_08_02_2024_09_13,ridge,volatility_regime,high,0.13047826512937705,0.0846414544107846,0.1752084241832251,0.0009995002498750624,30,5735,2000,650
block_a_2024_08_02_2024_09_13,ridge,volatility_regime,low,-0.008856094659014754,-0.04235870555954568,0.018878291740406464,0.5557221389305347,28,2526,2000,650
block_a_2024_08_02_2024_09_13,ridge,volatility_regime,normal,-0.025998048741611945,-0.051220905134076615,-0.001787827691649328,0.04097951024487756,30,3619,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,AAPL,0.10934214044128537,0.049291495361381395,0.17760300239401833,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,AMZN,0.025447074681243978,-0.01270759603063849,0.07415603318877957,0.24587706146926536,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,META,0.007234216048858922,-0.004144503042927427,0.01857830251964832,0.2368815592203898,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,MSFT,-0.0638511772747086,-0.09031990335767653,-0.03510721867291817,0.0009995002498750624,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,NVDA,0.0032041103949489915,-0.05533602831680561,0.06612956567288143,0.9165417291354323,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,asset,TSLA,0.005361037044412727,-0.0089491981231107,0.02212616080306498,0.5387306346826587,30,1980,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,session_tercile,first,-0.009090034115466864,-0.02955137987457808,0.013727065995681565,0.39980009995002497,30,3600,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,session_tercile,last,0.06651357740110812,0.021819785017940553,0.11875850462633064,0.0029985007496251873,30,3600,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,session_tercile,middle,-0.0074753635006296155,-0.01916553395327449,0.004318571021622876,0.22588705647176413,30,4680,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,volatility_regime,high,0.04168352936320941,0.0038817738782137945,0.07882791213424632,0.02798600699650175,30,5735,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,volatility_regime,low,-0.006317959690467307,-0.02609303330598218,0.010631840395028763,0.47876061969015493,28,2526,2000,650
block_a_2024_08_02_2024_09_13,elastic_net,volatility_regime,normal,-0.014190610686522128,-0.030461371780928143,0.0032970773532184643,0.11594202898550725,30,3619,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,AAPL,0.020790936494854053,-0.000426721796312985,0.042805421199179,0.05897051474262868,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,AMZN,0.02537300365256172,0.00792154212351247,0.04364939593405039,0.004997501249375313,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,META,0.06677769527919135,0.03945530067665912,0.0932716338908193,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,MSFT,0.050509200396195025,0.02691245912570864,0.07156919467543757,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,NVDA,0.021134491126761138,-0.04843940751229414,0.09809658598464105,0.5707146426786607,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,asset,TSLA,0.022927354927290717,-0.010386326952884101,0.06422251208868997,0.2128935532233883,30,1980,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,session_tercile,first,0.018208536561607636,0.0051808562915265505,0.031175410752286296,0.005997001499250375,30,3600,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,session_tercile,last,0.045390854873926516,0.02272384449939095,0.06943655861424686,0.0009995002498750624,30,3600,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,session_tercile,middle,0.03887121815133504,0.023040043692106778,0.055489641849490734,0.0009995002498750624,30,4680,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,volatility_regime,high,0.04495967085349502,0.019826641985407206,0.07170849224869762,0.0009995002498750624,30,3165,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,volatility_regime,low,0.0461593205854842,0.028422914726694476,0.0631576371540188,0.0009995002498750624,30,4868,2000,650
block_b_2024_10_01_2024_11_11,gamma_glm,volatility_regime,normal,0.011404777555165623,-0.010276884491741117,0.033081541632419394,0.30184907546226886,30,3847,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,asset,AAPL,-0.0185365448679933,-0.028162404133608054,-0.0087874304386052,0.001999000499750125,30,1980,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,asset,AMZN,0.0038834639360893373,-0.0009876044040257723,0.009711843134429183,0.1199400299850075,30,1980,2000,650
