asset,origin_id,contract,option_type,dte,moneyness,rate,dividend_yield,midpoint,quote_age_seconds,relative_spread,iv_success,failure_reason,iv
AAPL,AAPL:2026-06-29T18:00:00+00:00,O:AAPL260731C00295000,call,32,1.0460251046025106,0.0387,0.0036681222707423584,4.825,256.475613531,0.05181347150259067,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T18:05:00+00:00,O:AAPL260731C00295000,call,32,1.0482180293501049,0.0387,0.0036681222707423584,4.775,84.02222846,0.07329842931937183,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T18:10:00+00:00,O:AAPL260731C00295000,call,32,1.0491873243944945,0.0387,0.0036681222707423584,4.6,127.719622082,0.08695652173913032,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T19:20:00+00:00,O:AAPL260731C00295000,call,32,1.0438782731776362,0.0387,0.0036681222707423584,4.95,64.346765406,0.08080808080808087,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T19:20:00+00:00,O:AAPL260731P00280000,put,32,0.9907997169143665,0.0387,0.0036681222707423584,7.875,78.243420442,0.05714285714285705,false,STALE_QUOTE,
AAPL,AAPL:2026-06-29T19:25:00+00:00,O:AAPL260731C00295000,call,32,1.0439891000460064,0.0387,0.0036681222707423584,4.95,364.346765406,0.08080808080808087,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T15:20:00+00:00,O:AAPL260731P00275000,put,31,0.9559564779087147,0.0387,0.003707234403135261,4.425,67.182957405,0.14689265536723173,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T15:40:00+00:00,O:AAPL260731P00275000,put,31,0.9513924926483307,0.0387,0.003707234403135261,4.075,178.037510402,0.08588957055214726,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T15:50:00+00:00,O:AAPL260731C00285000,call,31,0.9851365364673349,0.0387,0.003707234403135261,12.725000000000001,76.304925461,0.06679764243614927,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T15:50:00+00:00,O:AAPL260731P00285000,put,31,0.9851365364673349,0.0387,0.003707234403135261,7.3,101.875821488,0.08219178082191776,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T16:20:00+00:00,O:AAPL260731C00285000,call,31,0.9886564678946821,0.0387,0.003707234403135261,11.925,121.56650498,0.1299790356394129,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T16:30:00+00:00,O:AAPL260731P00275000,put,31,0.9543309272626318,0.0387,0.003707234403135261,3.9499999999999997,90.473835835,0.20253164556962022,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T16:45:00+00:00,O:AAPL260731P00285000,put,31,0.9871497350282291,0.0387,0.003707234403135261,7.375,69.47544771,0.07457627118644078,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T16:55:00+00:00,O:AAPL260731P00285000,put,31,0.9859203653094406,0.0387,0.003707234403135261,7.325,87.604037764,0.08873720136518776,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T17:05:00+00:00,O:AAPL260731C00290000,call,31,1.0014503764072105,0.0387,0.003707234403135261,9.8,88.059385661,0.030612244897959072,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T17:10:00+00:00,O:AAPL260731C00290000,call,31,1.0029049661087286,0.0387,0.003707234403135261,9.7,68.931100333,0.041237113402061897,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T17:15:00+00:00,O:AAPL261016P00285000,put,108,0.9862274205827393,0.0387,0.003707234403135261,13.25,70.619326234,0.03773584905660377,false,STALE_QUOTE,
