asset,origin_utc,date,hour,atm_iv_available,skew_available,term_structure_available,b1a_complete,b1b_complete,b1c_complete,iv_contract_count,iv_inversion_attempts,iv_inversion_successes,valid_expiry_bucket_count,valid_moneyness_count,median_quote_age_seconds,median_relative_spread,quote_selection,usable_for_primary
NVDA,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-01-16T20:30:00+00:00,2026-01-16,20:30,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-07-20T16:00:00+00:00,2026-07-20,16:00,True,False,False,True,False,False,1,1,1,1,1,40.644655,0.022779043280182234,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
NVDA,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,21,21,21,3,5,0.461895,0.022222222222222143,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2025-07-25T13:35:00+00:00,2025-07-25,13:35,True,False,False,True,False,False,1,1,1,1,1,3.73435,0.006756756756756763,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2025-07-25T16:00:00+00:00,2025-07-25,16:00,True,False,True,True,False,False,7,7,7,2,7,9.947936,0.002830856334041113,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,21,24,23,3,8,2.11027,0.00729394602479939,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,True,False,False,False,4,4,4,3,3,10.8225145,0.04645376235713505,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,True,False,False,False,4,4,4,2,3,9.387896,0.04329329325840171,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-01-16T20:30:00+00:00,2026-01-16,20:30,False,True,True,False,False,False,12,12,12,3,6,1.335293,0.019390959446721548,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,1,2,1,1,1,12.149807,0.06623505976095627,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,True,False,False,False,6,6,6,3,5,11.9017085,0.018130619810350912,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
QQQ,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,9,9,9,3,6,7.422952,0.022962544701675115,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,True,False,False,False,2,2,2,2,2,7.840284499999999,0.019824821973239513,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,2,2,2,1,2,16.290374,0.06117686368760796,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2025-07-25T19:30:00+00:00,2025-07-25,19:30,True,True,True,True,True,True,18,22,20,3,7,0.527161,0.004434404557919258,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,True,False,False,False,2,2,2,2,2,9.3592865,0.026568227342539177,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,True,True,False,False,False,8,9,8,3,5,13.985637999999998,0.011005830367117098,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2026-01-16T20:30:00+00:00,2026-01-16,20:30,False,False,True,False,False,False,11,12,11,3,5,2.117075,0.009689370190937482,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
