model_name,information_set,mechanism_id,b2_variant,variant_type,observations,actual_mean,forecast_mean,forecast_to_actual_ratio,mean_signed_error,qlike,mae,rmse
har_rv,B0,direct,primary,direct,15548,0.000018402198964409755,0.00002034826493778551,1.1057518167877376,-1.9460659733757472e-6,0.3016690482736998,0.000014854104245182325,0.0004898324944056933
gamma_glm,B2_residual,global_elastic_net,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00011392913610757092,6.191060988304295,-0.0000955269371431612,8151390.822233264,0.00011993855441986808,0.012344510429491532
lightgbm,B2_residual,global_elastic_net,primary,residual,15548,0.000018402198964409755,0.00001827760907388632,0.9932296194186143,1.245898905234374e-7,0.2009538009136009,8.234115439972649e-6,0.000018543056206787022
har_rv,B2_residual,global_elastic_net,lag_1_session,residual,15548,0.000018402198964409755,0.000019429487581045732,1.055824231583561,-1.0272886166359745e-6,0.36432528765739963,0.000014157396910051524,0.00037906932977746087
gamma_glm,B2_residual,asset_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00014639751647302652,7.955436019149801,-0.00012799531750861678,7649978.521285207,0.00014961868181858137,0.012243086138871751
lightgbm,B2_residual,global_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000018257520899289368,0.9921380012573391,1.4467806512038394e-7,0.20144316156810002,8.225365372894729e-6,0.000018539330789748166
elastic_net,B2_residual,global_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000018398615196224806,0.9998052532639236,3.5837681849495693e-9,3063565.210875577,0.00001843926362483022,0.0003741569711289331
ridge,B2_residual,global_elastic_net,primary,residual,15548,0.000018402198964409755,0.0000196213321056971,1.066249318554004,-1.2191331412873436e-6,0.4317970534278032,0.000014716501098249515,0.00043417974808033377
ridge,B2_residual,hour_ridge,primary,residual,15548,0.000018402198964409755,0.000023556434759734815,1.2800880375923258,-5.154235795325058e-6,1471776.9186207526,0.000019086735365701668,0.0004344419009166794
lightgbm,B2_residual,global_elastic_net,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00001827760907388632,0.9932296194186143,1.245898905234374e-7,0.2009538009136009,8.234115439972649e-6,0.000018543056206787022
lightgbm,B2_residual,global_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000018957194220560775,1.0301591813687263,-5.549952561510193e-7,0.2066030823837263,8.483172187332287e-6,0.000018616719521099514
gamma_glm,B2_residual,hour_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00021669963125121262,11.775746565413966,-0.00019829743228680287,4824347.871172642,0.00021552428268191879,0.012349295463376089
ridge,B2_residual,global_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000021014841182492286,1.1419744576795108,-2.6126422180825296e-6,1687061.0928552551,0.00001695714740799771,0.000434200663659223
ridge,B2_residual,global_elastic_net,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.0000196213321056971,1.066249318554004,-1.2191331412873436e-6,0.4317970534278032,0.000014716501098249515,0.00043417974808033377
lightgbm,B1,baseline,primary,baseline,15548,0.000018402198964409755,0.00001633652247371012,0.8877483884021308,2.0656764906996387e-6,0.2054259552609349,7.675010366548462e-6,0.00001859367710838303
har_rv,B2_residual,global_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00002102850314445646,1.1427168668878123,-2.626304180046702e-6,1682820.4103592164,0.000016938958756536737,0.00043361544838548736
ridge,B2_residual,asset_ridge,primary,residual,15548,0.000018402198964409755,0.000024270695176611222,1.3189018999061615,-5.868496212201469e-6,2240750.9078503074,0.000021327597036803853,0.00043450176338752654
har_rv,B2,direct,primary,direct,15548,0.000018402198964409755,0.000016381975918912324,0.8902183891498736,2.020223045497433e-6,0.26610425053243475,9.530307075878878e-6,0.00006497033740673235
elastic_net,B2_residual,regime_ridge,primary,residual,15548,0.000018402198964409755,0.000022549040825600652,1.2253449095518953,-4.146841861190897e-6,2572994.2330539725,0.00002037585149868801,0.00043064201093001044
har_rv,B2_residual,global_elastic_net,primary,residual,15548,0.000018402198964409755,0.000019649423584530865,1.0677758469264065,-1.2472246201211063e-6,0.42600883285707947,0.000014704915323160776,0.00043359432928823756
lightgbm,B2_residual,hour_ridge,primary,residual,15548,0.000018402198964409755,0.00001855120593405497,1.0080972371798282,-1.4900696964521157e-7,4309.768662515262,8.325475949158568e-6,0.000018595748328448813
